"

University of Santo Tomas, EXPLAIN!

Sobrang lala ng management nyo ng opening ceremony ng UAAP S88!

UNANG UNA. 3:30 nakapila na kami sa gate. Ang announcement, 6:30 pm magsasara ang gates pero 5:30 pa lang isinara nyo na kaya daan-daang estudyante AT ATHLETES ang nastranded sa España. Sinimulan nyo ang program na maraming kabataan ang nasa labas. 

PANGALAWA. 6:30 na. Sumisigaw na kami na buksan ang gate kasi nagkakastampede na sa Gate 2. Pati mga atleta hindi nyo pinapasok kahit nagmamakaawa na. MGA SECURITY GUARDS NYO, PINAGTATAWANAN PA KAMI. 

PANGATLO. 7pm na. NAGSSTAMPEDE NA ANG TAO SA GATE 1 KASI DOON KAMI ITINURO. Inabutan na kami ng ulan pero yung mga security guards nyo, galit pa. Yung mga organizers nyo, nanonood lang. 

Yung kasama ko, hinimatay— nagcollapse na. Aba, pati companion ayaw nyong pasamahin kung hindi pa pipilitin ng mga tao sa likod? 

UST, THIS IS NOT SOMETHING YOU CAN SIMPLY PUT OFF AS AN OVERFLOW NG CROWD. 

YOU PRINTED LOTS OF TICKETS PERO ANG SAGOT NG MGA GUARDS, PUNO NA PO? Hindi nyo naestimate ang crowd na pupunta sa inyo?

INUULAN NA KAMI SA TABI NG ESPAÑA, YUNG ILAN AY NASA HIGHWAY NA PERO SINARA NYO YUNG GATE DAHIL KASALANAN DAW NG MGA NASA LABAS? Lahat kami may tickets, at lahat kami matiyagang pumila UNTIL NAGDECIDE KAYO NA ISARA ANG GATES UNANNOUNCED.

Inagahan nyo ang cut-off ng entrance; HINDI kayo nagannounce kung magpapapasok pa ba kayo o hindi para makauwi na ang iba; AT TINATAWANAN PA NG IBA NYONG GUARD habang nakikiusap at nababasa sa ulan ang mga estudyante.

UNACCEPTABLE.

#UAAPS88

",_sent_compound,_sent_pos,_sent_neu,_sent_neg,_sent_category
"

hello, just want to ask ano requirements para mapasama sa recognition (college here) kasi 1.40 grade ko overall pero wala pang email

",0.9999280611118593,0.999944806098938,3.844891398330219e-05,1.6744987078709528e-05,Strong Positive
"

di ko pa alam pangalan mo nun pero napansin na agad kita. may itsura ka e pero di ko yon aaminin sayo kasi ayoko lumaki ulo mo. nakikita ko rin lahat ng pagpapapansin na ginagawa mo. wish ko lang maging friends muna tayo bc i want to get to know u, tas bahala na si lord hahaha

",-0.005650032864650711,0.00037546679071224934,0.9935990336876126,0.006025499521675196,Neutral
"

as a broke student, naiintindihan ko yung mga nagbebenta ng ticket tapos oa sa price. broke ako oo, pero hindi ko kaya yung ganon. kahit siguro guardian angel ko magagalit saken and paringgan pa ko sa freedom wall 

",-0.6739616389495495,3.767059024539776e-05,0.3259630198699597,0.6739993095397949,Strong Negative
"

Saan po makakabili gen ad Tix for sunday's game????

",0.999909994443442,0.9999477863311768,1.4421781088458374e-05,3.779188773478381e-05,Strong Positive
"

hello po sa mga kulot sa lb 2nd floor

",0.9998312444804469,0.9999023675918579,2.6509296731092036e-05,7.112311141099781e-05,Strong Positive
"

huwag masyado marami iniisip baka mapanot lalo wahahhaha

",-0.9999514042719966,1.855498703662306e-05,1.1485753930173814e-05,0.9999699592590332,Strong Negative
"

Long live the short kings of UE! ❤️

",5.363463060348295e-06,2.662118620337414e-05,0.999952121090246,2.125772355058616e-05,Neutral
"

Hi kay vincent ng ue cal, paturo pano maging genuine at faithful

",6.476249654951971e-05,8.02566334921939e-05,0.9999042492278998,1.549413860804518e-05,Neutral
"

kalalaking tao hilig magpapa baby?!

",0.9664969891309738,0.983227014541626,4.296004772186279e-05,0.01673002541065216,Strong Positive
"

Kinda curious lang kung anong feeling ng ma inlove or crush crush, never really experienced it or sadyang pusong bato ako hahahha

",0.765415046364069,0.8101730256135796,0.14506898658273013,0.04475798780369027,Strong Positive
